title,id,viewCount,likeCount,favoriteCount,commentCount
I don't speak Chinese but I shipped from TAOBAO!,iPiaxpBVNOw,1925,156,0,54
DON'T spend over $200 on a phone! // Realme 6 vs Galaxy S21,ZsIcFV6DqkE,3243,215,0,84
No more heat & noise: Noctua NH-L12S // Aklla a4v2,CtOcCuVngeY,2930,89,0,12
3 Awesome Photo Editing Tips For Beginners! (Lightroom 2021),qCdwxovPipo,680,44,0,3
PC Organisation System for Productivity (+ My Favourite Free Apps),J0zJW4-yvx8,924,62,0,16
My Desk Setup 2021 (Resident Doctor + Content Creator),wI1hzh48--M,2569,151,0,32
Kentex Cargo vs. Savo Store review: Which is the best shipping service from US to Kenya?,LWjAA9HOq6Y,18063,1508,0,269
Happy New Year 2021! // Kisumu Kenya Travel Vlog,x4btq7Xriak,1552,65,0,22
Top 3 Note-taking Apps 2021 (Samsung Galaxy Tab),5l8Rsbo7oU4,1239,40,0,16
I built a tiny but POWERFUL PC! // Aklla a4v2 ITX rig,h2Ix1Yt_v0Y,8325,361,0,98
"How I make neat YouTube videos! // Full shooting, editing & publishing workflow",IEfT_1uThUU,1471,144,0,65
Hidden Windows 10 keyboard hacks you need to start using... ( + Blitzwolf BW-KB1 Review),MQ3eG9bNZGs,1227,58,0,11
Why I DON'T take sugar (Doctor explains!),guzeDPPBjC4,1158,80,0,24
Try these 7 sites instead of social media all day! You'll get SMARTER.,yAtl90hPzn0,2762,154,0,19
Shopping on Aliexpress & Shipping to Kenya: Beware Duties & Taxes!,jJAEEQGuE7I,18862,770,0,197
Cheap but Professional Looking Zoom Setup for 2021,LNqAMaNh-mY,601,65,0,16
My Minimal Everyday Carry: as a doctor,MY46wgjuVQA,772,52,0,10
5 MUST KNOW Windows hacks for PRODUCTIVITY on a large display (+ hp 27f 4k review),Ma7RpLs9IzU,17848,483,0,64
I tried eating NO CARBS for 30 DAYS. Here's what happened: BEFORE & AFTER.,1At2vvns7zw,2547,84,0,25
My EFFORTLESS method for remembering what I read in MEDICAL SCHOOL,uBp1paY8eng,2263,183,0,24
Should you upgrade from a phone to a camera for Youtube? My Sony a6400 experience,VKEXSOYNsnI,381,20,0,3
My favorite tablet apps! (Samsung Galaxy Tab S3),BAzReUCgiYo,3036,86,0,18
How I use Notion to get organised & manage my Youtube channel!,pGfQ-Z0ZaSg,1428,71,0,32
Day in the Life of a Kenyan Doctor + YouTuber,1sPl57KiO5w,3019,138,0,30
How I shop on Amazon US & ship to KENYA: CHEAP & EASY!,xbsly2vczIo,29767,1391,0,272
Even Warren Buffet used a dumb flip phone up to 2020!,VqkwZaTBeLg,1772,91,0,47
"How to shop on Aliexpress (China) & ship to Kenya: FAST, CHEAP and EASY",pk8Gz7o9B-A,23329,1306,0,253
Transforming a Spare Bedroom into a Home Office & Youtube Studio!,A2toKlRKj0M,1089,148,0,60
The Original Logitech MX Master: My Review 5 years later!,7nPZNigInZA,485,32,0,10
10+ Productivity Youtube Channels You Should Watch in 2021,z0Wo7cdPfT8,1101,107,0,18
Working from home: 6 common productivity killers you NEED to FIX!,xAH1pTQQo_c,580,59,0,19
How I wake up before 5am and not feel tired all day.,0pVtY1Wieh0,1639,96,0,27
How to PERMANENTLY end your Facebook addiction: 10 TIPS that actually work!,8wyQYDbYSnM,384,35,0,15
The CRAZY problem of gambling / betting addiction in Kenya.,BFZZgbVUZ8s,1188,45,0,25
Top 5 Android Productivity Apps for 2021!,EgEUgz8IqGA,635,51,0,8
Happy New Year 2020! // Rusinga Island Travel Vlog,HJRd9PyOzqU,1095,38,0,11
"Are Online Shopping Deals A Scam? // Aliexpress, Jumia Black Friday",CIXVefrqmsw,720,39,0,10
Why You Should Manage Your Time On Facebook!,Fmem7rzpVeQ,720,76,0,13
Welcome to the Channel! #TeamNeatVideos,I0YIUW7N8I4,402,23,0,7
